train/learning_rate,time/fps,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,time/episodes,train/n_updates,rollout/ep_len_mean,train/ent_coef,train/actor_loss
0.00075,449,0.044620368629693985,10000,0.0,22,-2.9351024627685547,4,334,500.0,0.778907835483551,-12.091075897216797
,449,,10000,0.0,22,,8,,500.0,,
,449,,10000,0.0,22,,12,,500.0,,
,449,,10000,0.0,22,,16,,500.0,,
,449,,10000,0.0,22,,20,,500.0,,
0.00075,423,0.05560828745365143,20000,0.0,47,-7.349902629852295,24,834,500.0,0.5352373719215393,-16.280540466308594
,423,,20000,0.0,47,,28,,500.0,,
,423,,20000,0.0,47,,32,,500.0,,
,423,,20000,0.0,47,,36,,500.0,,
,423,,20000,0.0,47,,40,,500.0,,
0.00075,430,0.04740021750330925,30000,0.0,69,-11.765169143676758,44,1334,500.0,0.3678198754787445,-19.046653747558594
,430,,30000,0.0,69,,48,,500.0,,
,430,,30000,0.0,69,,52,,500.0,,
,430,,30000,0.0,69,,56,,500.0,,
,430,,30000,0.0,69,,60,,500.0,,
0.00075,420,0.11723465472459793,40000,0.0,95,-16.200469970703125,64,1834,500.0,0.2528073191642761,-20.70138931274414
,420,,40000,0.0,95,,68,,500.0,,
,420,,40000,0.0,95,,72,,500.0,,
,420,,40000,0.0,95,,76,,500.0,,
,420,,40000,0.0,95,,80,,500.0,,
0.00075,440,0.023789210245013237,50000,0.0,113,-20.561912536621094,84,2334,500.0,0.1738201230764389,-21.959897994995117
,440,,50000,0.0,113,,88,,500.0,,
,440,,50000,0.0,113,,92,,500.0,,
,440,,50000,0.0,113,,96,,500.0,,
,440,,50000,0.0,113,,100,,500.0,,
0.00075,453,0.04386180266737938,60000,0.0,132,-24.755996704101562,104,2834,500.0,0.1195761114358902,-22.43086814880371
,453,,60000,0.0,132,,108,,500.0,,
,453,,60000,0.0,132,,112,,500.0,,
,453,,60000,0.0,132,,116,,500.0,,
,453,,60000,0.0,132,,120,,500.0,,
0.00075,464,0.027380619198083878,70000,0.0,150,-29.00412368774414,124,3334,500.0,0.08233615756034851,-22.453401565551758
,464,,70000,0.0,150,,128,,500.0,,
,464,,70000,0.0,150,,132,,500.0,,
,464,,70000,0.0,150,,136,,500.0,,
,464,,70000,0.0,150,,140,,500.0,,
0.00075,472,0.027371440082788467,80000,0.0,169,-32.45118713378906,144,3834,500.0,0.056792404502630234,-22.340164184570312
,472,,80000,0.0,169,,148,,500.0,,
,472,,80000,0.0,169,,152,,500.0,,
,472,,80000,0.0,169,,156,,500.0,,
,472,,80000,0.0,169,,160,,500.0,,
0.00075,471,0.037625230848789215,90000,0.0,190,-37.232872009277344,164,4334,500.0,0.0393083319067955,-22.139253616333008
,471,,90000,0.0,190,,168,,500.0,,
,471,,90000,0.0,190,,172,,500.0,,
,471,,90000,0.0,190,,176,,500.0,,
,471,,90000,0.0,190,,180,,500.0,,
0.00075,471,0.041469722986221313,100000,0.0,212,-40.87824249267578,184,4834,500.0,0.027259744703769684,-21.53447914123535
,471,,100000,0.0,212,,188,,500.0,,
,471,,100000,0.0,212,,192,,500.0,,
,471,,100000,0.0,212,,196,,500.0,,
,471,,100000,0.0,212,,200,,500.0,,
0.00075,477,3.455531120300293,110000,0.0,230,-43.95148849487305,204,5334,500.0,0.019106650725007057,-21.023353576660156
,477,,110000,0.0,230,,208,,500.0,,
,477,,110000,0.0,230,,212,,500.0,,
,477,,110000,0.0,230,,216,,500.0,,
,477,,110000,0.0,230,,220,,500.0,,
0.00075,482,0.028737306594848633,120000,0.0,248,-40.62348937988281,224,5834,500.0,0.013545052148401737,-20.37982749938965
,482,,120000,0.0,248,,228,,500.0,,
,482,,120000,0.0,248,,232,,500.0,,
,482,,120000,0.0,248,,236,,500.0,,
,482,,120000,0.0,248,,240,,500.0,,
0.00075,486,0.0288510974496603,130000,0.0,267,-40.60150909423828,244,6334,500.0,0.009937576949596405,-20.084468841552734
,486,,130000,0.0,267,,248,,500.0,,
,486,,130000,0.0,267,,252,,500.0,,
,486,,130000,0.0,267,,256,,500.0,,
,486,,130000,0.0,267,,260,,500.0,,
0.00075,484,0.015895172953605652,140000,2.37,288,-24.952489852905273,264,6834,500.0,0.0075047253631055355,-19.061975479125977
,484,,140000,2.37,288,,268,,500.0,,
,484,,140000,2.37,288,,272,,500.0,,
,484,,140000,2.37,288,,276,,500.0,,
,484,,140000,2.37,288,,280,,500.0,,
0.00075,482,0.0331551618874073,150000,6.23,310,-28.376728057861328,284,7334,500.0,0.005893532652407885,-18.571775436401367
,482,,150000,6.23,310,,288,,500.0,,
